date,flight_id,callsign,icao24,operation,runway,event_time,event_time_utc,event_lat,event_lon,event_geoaltitude_m,threshold_lat,threshold_lon,threshold_distance_m,comparison_time,comparison_time_utc,comparison_geoaltitude_m,altitude_delta_m,distance_delta_m
2026-04-01,UPS780M1a50126,UPS780M1,a50126,arrival,17L,1775032439,2026-04-01T08:33:59Z,32.918609619140625,-97.05075073242188,198.12,32.89832038888889,-97.00977861111112,4440.641286625329,1775030219,2026-04-01T07:56:59Z,11910.06,-11711.939999999999,-384888.82686706056
2026-04-01,AAL2390M1a163f2,AAL2390M1,a163f2,arrival,17L,1775034299,2026-04-01T09:04:59Z,32.92579262943591,-97.02586894132652,220.98,32.89832038888889,-97.00977861111112,3404.0687073252375,1775032019,2026-04-01T08:26:59Z,11010.9,-10789.92,-349457.5281282438
2026-04-01,FDX1735M1a2dd59,FDX1735M1,a2dd59,arrival,17L,1775034599,2026-04-01T09:09:59Z,32.90717173430879,-97.02603709941008,144.78,32.89832038888889,-97.00977861111112,1809.0399203801353,1775032379,2026-04-01T08:32:59Z,10698.48,-10553.699999999999,-432320.56723751896
2026-04-01,UPS9860M1a11eb4,UPS9860M1,a11eb4,departure,17L,1775034779,2026-04-01T09:12:59Z,32.891530182402015,-97.05148502272004,411.48,32.89832038888889,-97.00977861111112,3966.519460473676,1775036639,2026-04-01T09:43:59Z,11353.8,10942.32,355152.47672564915
2026-04-01,AAL1378M1ac77d3,AAL1378M1,ac77d3,arrival,17C,1775035559,2026-04-01T09:25:59Z,32.94245910644531,-97.0505859375,327.66,32.915706694444445,-97.02597491666668,3758.335683258685,1775032979,2026-04-01T08:42:59Z,11346.18,-11018.52,-427571.15400994284
2026-04-01,AAL2277M1a10614,AAL2277M1,a10614,arrival,17L,1775035739,2026-04-01T09:28:59Z,32.905517578125,-97.02603149414062,152.4,32.89832038888889,-97.00977861111112,1715.472942473003,1775033459,2026-04-01T08:50:59Z,9189.72,-9037.32,-362312.2309334563
2026-04-01,UPS780M2a50126,UPS780M2,a50126,departure,17L,1775035979,2026-04-01T09:32:59Z,32.878692626953125,-97.05355224609372,746.76,32.89832038888889,-97.00977861111112,4633.505073993877,1775038079,2026-04-01T10:07:59Z,1447.8,701.04,383297.3544645432
2026-04-01,KAL277M271c044,KAL277M2,71c044,departure,31L,1775036219,2026-04-01T09:36:59Z,32.86051940917969,-97.05272827148434,579.12,32.89026988888889,-97.0632764722222,3451.6521377033223,1775037899,2026-04-01T10:04:59Z,10759.44,10180.32,366123.8202135377
2026-04-01,AAL1005M1a07522,AAL1005M1,a07522,arrival,17L,1775037119,2026-04-01T09:51:59Z,32.93646240234375,-97.02586669921874,281.94,32.89832038888889,-97.00977861111112,4499.211497149374,1775035019,2026-04-01T09:16:59Z,10386.06,-10104.119999999999,-393247.8141623754
2026-04-01,ATN762M1a37245,ATN762M1,a37245,arrival,17C,1775037299,2026-04-01T09:54:59Z,32.927794375662074,-97.05070028499682,243.83999999999995,32.915706694444445,-97.02597491666668,2670.7025935704382,1775034659,2026-04-01T09:10:59Z,10629.9,-10386.06,-468539.24414630845
